id,name,service_name_vi,category,category_vi,finish_type,extension_type,nail_length,nail_shape,art_level,description,add_ons,duration_min,price,price_tier,maintenance_weeks,refill_eligible,removal_needed,soak_off_time_min,notes_en,notes_vi,seasonality_tags,trend_tags,inventory_items_used,selected
001.jpg,XL Stiletto Ombré Set with Rhinestones,Làm Móng Bột Dáng Nhọn Dài Ombré (Đính Đá),Full Set,Làm bộ móng mới,Glossy,Acrylic,XL,Stiletto,Extreme,"Red and orange ombré, full-coverage rhinestone accent nail, scattered rhinestones, white line art.","Ombré, Rhinestones (Full-coverage), Rhinestones (Scattered), Line Art",210,200,Premium,2-3,Yes (but complex),Yes,30,"Client has hand tattoos. This is a very complex, time-consuming set. Price accordingly.","Khách có hình xăm trên tay. Đây là một bộ móng rất phức tạp, tốn thời gian. Định giá cho phù hợp.","Summer, Fall, Festival","Ombré, Bling Nails, Rhinestones, Maximalist","Orange Acrylic Powder, Red Acrylic Powder, Clear Acrylic Powder, Monomer, Nail Forms, Rhinestones (Various sizes), Nail Glue, White Art Gel, Liner Brush, Glossy Top Coat",1
002.jpg,XL Coffin Full Set with Marble & Gold,Làm Móng Bột Dáng Hòm Dài (Vân Đá & Giấy Vàng),Full Set,Làm bộ móng mới,Glossy,Acrylic,XL,Coffin,Complex,"Nude pink base, white marble accent nails, gold foil, 3D gold heart charms","Gold Foil, Marble Art, 3D Charms",180,150,Premium,2-3,Yes,Yes,30,High-end design. Multiple techniques used. Price should reflect art complexity.,Thiết kế cao cấp. Sử dụng nhiều kỹ thuật. Giá cả nên phản ánh độ phức tạp của nghệ thuật.,"Bridal, Valentine's, Formal","Marble Nails, Gold Foil, 3D Charms, Coffin Nails","Nude Pink Acrylic, White Acrylic, Clear Acrylic, Monomer, Nail Forms, Gold Foil, 3D Gold Heart Charms, Glossy Top Coat",1
003.jpg,Short Gel Manicure with Neon Stripes,Sơn Gel Móng Ngắn Kẻ Sọc Neon,Manicure,Làm móng tay,Glossy,None,Short,Squoval,Moderate,"Black base color with hand-painted neon stripes (pink, orange, green, yellow). One solid yellow accent nail.",Hand-painted Nail Art,75,60,Mid,2-3,No,Yes,15,Precise line work required. Good for clients who want art on short nails.,Yêu cầu kẻ vạch chính xác. Phù hợp cho khách muốn vẽ nghệ thuật trên móng ngắn.,"Summer, Party","Neon, Line Art, Short Nails","Black Gel Polish, Neon Gel Polish (Pink, Orange, Green, Yellow), Liner Brush, Base Coat, Glossy Top Coat",1
004.jpg,Gel Pedicure (Solid Color),Làm Móng Chân Sơn Gel (Trơn),Pedicure,Làm móng chân,Glossy,None,Short,Square,None,Solid deep burgundy/wine color,Gel Polish,60,55,Mid,4-6,No,Yes,15,Classic gel pedicure. Color is great for fall/winter.,Làm móng chân gel cổ điển. Màu sắc rất hợp cho mùa thu/đông.,"Fall, Winter, All-Season","Dark Nails, Classic Pedicure","Burgundy Gel Polish, Pedi Base Coat, Pedi Top Coat",1
005.jpg,XL Stiletto Full Set (Solid Color),Làm Móng Bột Dáng Nhọn Dài (Sơn Trơn),Full Set,Làm bộ móng mới,Glossy,Acrylic,XXL,Stiletto,None,Solid classic red,Extra Length,150,100,High,2-3,Yes,Yes,30,Very long stiletto shape. Requires skilled tech.,Móng dáng nhọn rất dài. Yêu cầu thợ có tay nghề cao.,"Holiday, Valentine's, Formal","Stiletto, Maximalist, Classic Red","Red Gel Polish, Acrylic Powder (Clear/Nude), Monomer, Nail Forms, Glossy Top Coat",1
006.jpg,Modern French Gel Manicure,Sơn Gel Kiểu Pháp Hiện Đại,Manicure,Làm móng tay,Glossy,None,Medium,Square,Simple,Turquoise French tip with one solid accent nail,French Tip Art,60,50,Mid,2-3,No,Yes,15,"Natural nail base with gel polish. Clean, modern look.","Móng tay tự nhiên sơn gel. Kiểu dáng sạch sẽ, hiện đại.","Summer, Spring, Vacation","French Tip, Color French, Minimalist","Nude Pink Gel Polish, Turquoise Gel Polish, Base Coat, Glossy Top Coat",1
007.jpg,Pedicure with Fungal Treatment / Reconstruction,Làm Móng Chân (Điều Trị Nấm / Tái Tạo Móng),Specialty Pedicure,Dịch vụ làm móng chân đặc biệt,Glossy,Nail Reconstruction,Short,Square,None,Before/After treatment. Solid blue color applied after treatment/reconstruction.,"Fungus Treatment, Nail Reconstruction",90,100,High,4-6,No,No,0,"Before, middle, and after transformation. Shows treatment for damaged/fungal toenails. Requires specialized training and sanitation.","Hình ảnh trước, trong và sau khi biến đổi. Cho thấy việc điều trị móng chân bị hư hỏng/nấm. Yêu cầu đào tạo chuyên biệt và vệ sinh.","All-Season, Health","Medical Pedicure, Nail Reconstruction","Antifungal Solution, Nail Drill (for debridement), Reconstruction Gel/Resin, Blue Gel Polish, Pedi Base Coat, Pedi Top Coat, Extensive PPE/Sanitizer",0
008.jpg,XL Stiletto Set with Encapsulated Gold Foil,Làm Móng Bột Dáng Nhọn Dài (Ẩn Giấy Vàng),Full Set,Làm bộ móng mới,Glossy,Acrylic,XL,Stiletto,Complex,Nude base with clear tips. Encapsulated gold/copper foil in clear tips. One accent nail with 3D gold piping.,"Encapsulated Art, Gold Foil, 3D Art",180,160,Premium,2-3,Yes (but complex),Yes,30,"Elegant, high-end design. Encapsulation takes time and skill.","Thiết kế thanh lịch, cao cấp. Kỹ thuật ẩn (encapsulation) tốn thời gian và kỹ năng.","Bridal, Formal, New Year's","Encapsulated Nails, Gold Foil, Nude Nails, Stiletto","Nude Acrylic Powder, Clear Acrylic Powder, Monomer, Nail Forms, Gold/Copper Foil, Gold 3D Piping Gel, Glossy Top Coat",1
009.jpg,Matching Gel Manicure & Pedicure,Làm Móng Tay & Chân Sơn Gel (Cùng Màu),Combo Service,Dịch vụ Combo,Glossy,None,Short,Squoval/Square,None,Solid classic red on both hands and feet.,Gel Polish,105,90,Mid,"2-3 (mani), 4-6 (pedi)",No,Yes,15,Classic combo service. Great for upselling. Client is wearing an engagement ring (bridal potential).,Dịch vụ combo cổ điển. Tốt để bán thêm. Khách hàng đang đeo nhẫn đính hôn (tiềm năng làm móng cô dâu).,"All-Season, Classic, Bridal, Holiday","Matching Mani-Pedi, Classic Red","Red Gel Polish, Base Coat, Top Coat",0
010.jpg,Gel Pedicure (Solid Color),Làm Móng Chân Sơn Gel (Trơn),Pedicure,Làm móng chân,Glossy,None,Short,Square,None,Solid bright teal/blue color,Gel Polish,60,55,Mid,4-6,No,Yes,15,"Classic gel pedicure. Bright color, perfect for summer or vacation.","Làm móng chân gel cổ điển. Màu sắc tươi sáng, hoàn hảo cho mùa hè hoặc đi nghỉ mát.","Summer, Spring, Vacation","Bright Pedicure, Blue Nails","Teal/Blue Gel Polish, Pedi Base Coat, Pedi Top Coat",1
